x1,y1,x2,y2
426,568,482,556
482,556,486,557
486,557,494,558
494,558,501,560
501,560,508,560
508,560,519,561
519,561,528,562
528,562,544,562
544,562,557,565
557,565,571,566
571,566,588,568
588,568,603,568
603,568,614,566
614,566,627,564
627,564,640,559
640,559,647,553
647,553,656,547
656,547,661,541
661,541,666,535
666,535,671,528
671,528,671,518
671,518,674,507
674,507,672,498
672,498,670,486
670,486,666,476
666,476,657,462
657,462,646,449
646,449,638,437
638,437,629,429
629,429,623,424
623,424,613,421
613,421,605,417
605,417,593,413
593,413,585,410
585,410,572,408
572,408,560,406
560,406,550,406
550,406,538,406
538,406,525,404
525,404,516,406
516,406,508,407
508,407,502,409
502,409,494,411
494,411,487,413
487,413,479,415
479,415,471,416
471,416,462,420
462,420,450,423
450,423,439,425
439,425,427,428
427,428,417,429
417,429,412,432
412,432,406,436
406,436,402,442
402,442,399,447
399,447,395,454
395,454,391,463
391,463,388,470
388,470,385,478
385,478,383,484
383,484,382,489
382,489,382,493
382,493,382,495
382,495,382,498
382,498,382,502
382,502,382,506
382,506,383,515
383,515,384,523
384,523,384,529
384,529,384,538
384,538,385,546
385,546,386,550
386,550,386,553
386,553,388,556
388,556,389,558
389,558,391,558
391,558,395,560
395,560,396,559
396,559,397,558
397,558,399,558
399,558,400,557
400,557,402,556
402,556,403,554
403,554,405,554
405,554,407,555
407,555,409,554
409,554,410,554
410,554,411,556
411,556,412,555
412,555,414,556
414,556,416,556
416,556,418,557
418,557,420,557
420,557,425,558
425,558,428,558
428,558,429,559
429,559,430,560
430,560,432,560
432,560,434,561
434,561,436,562
436,562,438,562
438,562,440,562
440,562,441,562
441,562,443,563
443,563,446,565
446,565,447,566
447,566,451,567
451,567,453,568
453,568,454,569
454,569,455,570
455,570,456,570
456,570,456,571
456,571,456,573
456,573,457,573
457,573,458,576
458,576,458,577
458,577,458,578
458,578,456,578
456,578,455,577
455,577,454,576
454,576,452,573
452,573,452,573
452,573,451,571
451,571,450,570
450,570,449,569
