X,Y
244,162
227,169
217,177
211,182
205,188
202,194
198,201
198,206
198,211
198,216
199,222
201,231
204,237
208,242
213,248
219,252
230,255
255,259
264,257
272,254
283,248
294,244
304,238
314,231
323,224
329,217
335,209
339,202
341,196
340,192
342,187
343,183
342,180
342,178
342,176
341,175
329,184
327,190
324,200
323,206
322,212
322,218
322,222
323,228
323,233
325,238
327,244
334,252
337,255
339,257
339,257
400,132
400,147
400,162
398,179
396,190
394,203
393,215
392,227
388,239
388,248
385,258
385,263
382,269
381,273
381,276
380,279
380,280
379,282
384,269
390,257
396,247
401,238
405,232
409,226
412,221
418,216
422,213
425,210
430,209
435,208
439,207
443,207
446,208
451,209
457,212
461,214
464,218
467,222
469,227
470,231
469,236
470,242
468,250
465,258
459,268
453,277
447,285
440,290
430,294
421,295
412,294
402,292
389,289
381,287
371,285
361,283
353,281
345,279
338,279
330,279
321,279
314,280
309,280
303,282
299,284
297,286
295,287
294,288
293,290
292,291
292,293
292,295
293,296
293,297
295,299
299,300
303,300
310,299
318,296
327,292
335,288
342,283
346,279
352,273
356,268
358,264
359,260
360,256
360,253
360,250
358,246
357,243
353,241
347,238
343,237
339,237
334,237
326,239
320,242
316,245
313,249
310,253
308,257
307,260
306,264
306,268
306,272
306,276
306,279
307,282
307,284
308,285
308,287
303,276
299,270
294,266
289,263
286,261
281,260
276,258
268,257
260,257
251,257
242,259
229,262
224,264
214,267
211,269
206,272
201,277
197,282
193,287
190,292
184,298
177,305
171,311
165,315
157,319
148,321
142,322
131,321
124,319
117,315
109,310
101,303
96,296
91,287
89,279
87,270
86,260
87,249
86,237
88,226
92,211
97,200
104,187
112,176
119,165
127,157
138,147
152,138
162,129
177,122
188,116
204,109
219,106
238,102
257,98
272,97
294,94
313,92
334,90
350,90
367,90
385,91
399,93
417,94
426,96
444,99
458,103
469,108
484,114
495,121
506,128
515,134
523,141
531,148
538,157
542,162
546,168
549,176
553,185
554,191
555,198
554,204
553,213
552,223
549,236
541,251
537,259
528,268
519,276
512,282
501,287
490,292
475,296
463,298
449,302
433,305
419,309
408,312
395,317
387,322
379,329
374,337
371,346
369,355
369,364
370,375
370,384
372,395
373,402
372,407
372,413
369,418
361,425
353,429
343,430
331,431
319,433
308,434
297,435
289,437
283,440
278,444
271,452
265,460
262,466
259,474
254,482
249,489
243,495
230,500
211,505
200,506
184,505
169,503
157,501
145,499
138,498
134,497
131,496
128,495
127,494
126,492
124,488
121,479
117,465
112,450
108,440
102,427
99,419
97,412
95,407
95,403
95,401
95,399
95,397
95,396
108,407
118,412
126,416
135,419
145,422
156,426
168,429
178,432
190,436
203,441
223,448
245,456
264,464
284,474
306,483
328,494
351,503
371,510
391,517
410,522
427,526
446,528
461,529
472,530
487,529
502,526
517,522
534,515
552,508
565,500
577,491
590,482
600,473
613,462
623,451
633,440
643,430
649,422
656,413
662,403
666,395
669,387
670,380
671,375
670,369
670,365
669,360
668,357
668,356
667,378
667,393
668,408
670,418
669,428
668,435
665,442
663,450
655,458
647,462
638,465
631,466
617,466
601,464
585,459
572,455
560,450
540,444
526,442
515,441
511,441
504,443
500,445
496,448
494,451
494,454
494,457
495,460
496,462
498,464
506,461
514,451
526,436
532,425
536,414
544,401
551,391
563,375
573,361
583,347
595,334
605,322
619,314
634,304
648,296
665,289
677,283
692,276
700,270
709,264
716,254
723,242
726,232
727,221
726,208
722,191
715,175
708,159
698,146
688,134
674,123
661,117
653,112
645,110
640,110
634,111
628,114
622,120
618,129
617,136
615,141
614,144
613,147
611,147
609,145
604,137
600,126
598,116
599,110
599,103
604,94
609,88
618,85
633,85
654,90
669,96
689,105
702,113
717,123
726,131
737,141
742,149
746,157
750,168
754,180
757,192
758,203
757,212
752,229
747,235
741,238
729,240
719,240
699,236
681,232
669,229
656,228
646,228
635,230
625,235
620,241
618,249
619,263
626,284
635,304
642,322
651,339
660,356
664,371
670,384
675,393
676,398
676,402
676,405
674,407
672,409
667,411
664,411
662,413
660,415
660,421
662,437
671,455
677,466
682,476
684,480
686,483
686,484
685,473
686,460
685,451
686,442
689,433
693,424
699,417
707,409
712,402
720,393
724,382
726,373
729,358
730,346
731,333
729,320
729,308
726,294
722,283
717,273
711,265
703,257
693,249
684,244
674,239
664,235
654,231
643,227
630,224
617,222
603,219
589,215
573,210
557,203
543,198
525,193
508,185
490,176
476,167
459,157
443,147
424,136
409,126
394,117
382,107
366,98
353,89
342,81
334,75
321,68
312,63
303,61
298,59
291,58
287,58
281,58
274,61
264,65
255,71
247,78
239,85
232,91
228,95
221,104
216,113
211,122
209,132
207,140
206,148
206,156
206,163
208,172
211,183
216,190
225,201
235,208
245,213
259,220
276,227
289,230
305,233
324,237
343,241
363,245
381,250
399,258
418,264
438,273
455,282
473,291
490,304
507,316
521,326
534,338
548,353
562,369
569,383
572,394
573,404
574,416
575,422
574,428
569,437
562,446
550,453
535,455
525,455
504,453
484,445
466,437
443,426
418,415
391,400
368,388
343,375
319,361
296,347
273,335
251,323
228,316
205,308
183,303
166,299
147,299
136,301
126,306
117,311
113,317
110,325
110,334
113,354
124,377
135,401
150,428
166,455
184,483
184,483
